category,year,sales,emp,Export,gdp,inputs,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share,avg_employment,TFP
foreign,1990,2.1954283464273014e9,70025.0,3.38029767648007e8,4.009078714978188e8,1.0432805890126727e6,2485,711,1818,5725.210589044182,31352.064925773673,0.15396984747787137,28.17907444668008,384.27617241228
foreign,1991,3.8546073851632023e9,124789.0,6.983334127217896e8,6.716271167900286e8,2.0239801106335851e6,5057,1571,2721,5382.101922365181,30888.99971282086,0.1811684934267884,24.67648803638521,331.8348403037335
foreign,1992,7.381103226116068e9,193208.0,1.3574050635015762e9,1.9472110134758859e9,3.588000014767678e6,10892,3072,5792,10078.314632292067,38202.886144031654,0.18390273403828847,17.738523687109804,542.7009491252657
foreign,1993,1.0576129150274874e10,245045.0,1.8721369500422313e9,3.012404923210435e9,4.825397418734263e6,14935,3860,5127,12293.272350835296,43159.94674559723,0.17701532606507311,16.407432206226982,624.2812066660016
foreign,1994,1.3773610469186085e10,293887.0,2.609370856749339e9,4.035348240994107e9,5.868750771796556e6,19197,4514,5622,13730.951831806466,46867.02871915425,0.1894471215508052,15.309006615617024,687.5991838649499
foreign,1995,1.7430307059310307e10,358775.0,3.9616932450494814e9,5.109800004972944e9,7.555712733161966e6,20937,5048,4303,14242.352463167568,48582.83620461377,0.2272876336354249,17.13593160433682,676.2829908217752
foreign,1996,2.2797172911335026e10,408738.0,4.934815042515467e9,6.47088539312763e9,9.207894397690585e6,22063,5345,4148,15831.377051136988,55774.5375065079,0.2164660969896762,18.5259484204324,702.7540840119301
foreign,1997,3.6064595124929985e10,465218.0,8.400331543313589e9,1.1275970772410246e10,1.08780021125133e7,22770,5326,4175,24238.03630214275,77521.92547349841,0.23292460415025656,20.431181379007466,1036.5847198576243
foreign,1998,4.058828530092001e10,523800.0,1.0135504080857422e10,1.2056635376669582e10,1.2056408856332157e7,24276,5579,3862,23017.63149421455,77488.13535876291,0.2497150102723773,21.57686604053386,1000.018788375554
foreign,1999,4.369312553161074e10,548323.0,1.1542401991078999e10,1.2710302095225586e10,1.2525984403466228e7,24019,5630,3240,23180.319073293635,79685.01327066481,0.26416974868800347,22.828718930846414,1014.7148268609014
foreign,2000,4.6356503843433685e10,586176.0,1.3818960010902752e10,1.2361405356787828e10,1.3234376153042354e7,25298,5687,4034,21088.214728661405,79082.90998511315,0.29810185982910753,23.170843544944265,934.0376315317405
foreign,2001,5.308754325990045e10,600934.0,1.5511001339534756e10,1.1005292250792679e10,1.369869945734606e7,26147,5608,3655,18313.64550981086,88341.72015545875,0.29217779514862113,22.98290434849122,803.3822688832687
foreign,2002,5.559282587153256e10,578403.0,1.5522456572126732e10,1.2766422427388575e10,1.3474441969341092e7,26963,5693,3538,22071.846839294703,96114.34565784161,0.27921690125983184,21.451730148722323,947.4546297677113
foreign,2003,6.157417773430428e10,576900.0,1.925799619417926e10,1.407791997536493e10,1.351240928426854e7,27271,5664,3574,24402.70406546183,106732.84405322289,0.3127609154161749,21.154339774852406,1041.85121092763
foreign,2004,6.058258950645471e10,597759.0,1.9817501780771576e10,1.416455476524553e10,1.3931675345331809e7,27838,5975,3430,23696.096194696405,101349.52297908474,0.3271154624161475,21.472771032401752,1016.7158230536684
foreign,2005,6.837422966391832e10,623722.0,2.415226811593379e10,1.5239076756457373e10,1.4842297469182169e7,27468,6149,3089,24432.48235024157,109622.92441811948,0.3532364201344582,22.707222950342217,1026.7330100410031
foreign,2006,7.643287106287263e10,646237.0,2.7444846580092976e10,1.5267303468467037e10,1.4969881885814495e7,27485,6158,2989,23624.9293501719,118273.74641636526,0.3590712503461661,23.512352192104785,1019.8679979522336
foreign,2007,8.065237740682555e10,671669.0,3.054745666581839e10,1.5956605523963995e10,1.5368462227050684e7,29352,6520,3625,23756.65026071472,120077.56410795428,0.3787545717559119,22.883244753338783,1038.2694955568224
foreign,2008,8.333116467779819e10,713031.0,3.252572590424968e10,1.5913796529867235e10,1.604954118058276e7,31322,6692,4090,22318.519853789294,116868.92249817777,0.3903188684570908,22.764542494093607,991.5421475799101
foreign,2009,7.241737814182837e10,659046.0,2.6568065801637596e10,1.4709299697688747e10,1.5145009618561411e7,31616,6653,3237,22319.078937871935,109882.12983893137,0.36687417417411095,20.845331477732792,971.2307927266902
foreign,2010,7.253668679654489e10,665503.0,3.0238099095684174e10,1.4799308372710754e10,1.494851480240168e7,32338,6834,3718,22237.77860161525,108995.28145860333,0.4168662842362479,20.579596759230625,990.0186452190585
foreign,2011,7.290376496938599e10,680630.0,3.254180668967617e10,1.4878725693207075e10,1.5152775001383495e7,32960,7125,3953,21860.226104061054,107112.18278563388,0.446366613621961,20.650182038834952,981.9142494921624
foreign,2012,6.99604612284906e10,673160.0,3.1790749304254704e10,1.410945111973451e10,1.502851875116314e7,31140,7080,2451,20960.02602610748,103928.42894481342,0.4544102303789313,21.617212588310853,938.8450953386542
foreign,2013,7.042265790346118e10,674946.0225629807,3.314360802290249e10,1.4154002367972696e10,1.5117356361234013e7,30128,6991,2787,20970.569341568284,104338.20712957812,0.47063841396525197,22.402616256073443,936.2749696281764
foreign,2014,7.499433164471361e10,700173.5090942383,3.665757808792206e10,1.5620659422214941e10,1.5864258242266117e7,28562,6843,2317,22309.697838214717,107108.21056587549,0.48880465075130874,24.514162491920672,984.644802402285
foreign,2015,8.099174792452989e10,755741.0,4.289256200019196e10,2.0430982487045868e10,1.6826808512371816e7,27987,6148,2218,27034.370885059652,107168.65688712124,0.52959175594235,27.00328724050452,1214.1923688038705
foreign,2016,7.41673238671812e10,768385.0,3.7022796431385056e10,1.6442154222822828e10,1.7517173388695303e7,26750,6055,2148,21398.32795125208,96523.64877916826,0.4991793488151933,28.72467289719626,938.6305574524804
foreign,2017,7.66837591923645e10,777261.0,3.7928123511913185e10,1.7110520004031565e10,1.790062098741445e7,25322,5721,2234,22013.866647151426,98658.95650542674,0.4946043844403723,30.695087275886582,955.8618115014899
foreign,2018,7.864875168989668e10,777176.0,3.72717851444503e10,1.6710242299557941e10,1.7798175934692055e7,23019,2495,2243,21501.233053462718,101198.1220340009,0.47390180191808795,33.7623702159086,938.8738689219538
foreign,2019,8.203453872489258e10,780213.0,3.9420426561496185e10,1.5816541819649687e10,1.7761642058377806e7,22418,2521,2096,20272.08187975551,105143.7732066661,0.48053450624857896,34.80297082701401,890.4887153825592
foreign,2020,7.940475696890457e10,766791.0,3.596813755631001e10,1.6670895662839533e10,1.8042874999718994e7,22331,2519,1686,21741.12067413354,103554.62827407282,0.45297207534298445,34.33751287447942,923.9600486673644
foreign,2021,8.684396671359415e10,773714.0,4.164669479030878e10,1.6909801857178093e10,1.7696213868595153e7,21828,2536,1700,21855.364976177363,112242.9821789371,0.4795577213516388,35.445940993219715,955.5604369806653
foreign,2022,8.3486955106e10,722291.0,4.1348062283e10,1.4633347122e10,1.5832441760020925e7,20667,2408,1775,20259.628213559354,115586.31508076384,0.4952637478573993,34.94900082256738,924.263442354874
large domestic,1990,1.4646445824170633e10,668839.0,1.4126942465701263e9,2.492811036909083e9,9.645941867870957e6,1267,445,95,3727.07189160483,21898.31308307475,0.09645304147705208,527.8918705603788,258.4310657326503
large domestic,1991,8.937158573696352e9,416345.0,8.083265608845004e8,1.3931309456282268e9,6.718833588126694e6,876,377,55,3346.097456744351,21465.752137521413,0.0904455878475234,475.2796803652968,207.34714252934063
large domestic,1992,5.2304089628406925e9,297153.0,7.115778568981338e8,1.2035155358602123e9,5.045198711995572e6,610,308,51,4050.154418297013,17601.737027190346,0.13604631338649054,487.1360655737705,238.54670639606488
large domestic,1993,4.338490995651533e9,236828.0,5.993935333081801e8,1.2022193425319424e9,4.02848956392244e6,470,280,40,5076.339548245741,18319.16410074625,0.13815714586222533,503.88936170212764,298.42930543957306
large domestic,1994,5.947605579587372e9,262311.0,7.844554483610717e8,1.777487329377484e9,4.684864860494354e6,491,290,20,6776.259209020911,22673.870251675955,0.1318943292160095,534.2382892057027,379.4105875638686
large domestic,1995,6.377379680246851e9,272275.0,9.155325882224647e8,1.8475001429730735e9,4.793791045594268e6,494,308,6,6785.4196785348395,23422.56791937141,0.14355936671893854,551.163967611336,385.39438315130946
large domestic,1996,6.592581786734246e9,273727.0,1.227192763143786e9,1.8319479814159951e9,4.403790050607203e6,489,310,10,6692.609722153807,24084.514084230806,0.1861475219940651,559.7689161554192,415.99348751046904
large domestic,1997,7.005124952351251e9,269051.0,1.5666958559623575e9,1.9607790837895408e9,4.392475647992407e6,477,312,5,7287.759881173238,26036.420427172732,0.22364995151678208,564.0482180293501,446.3949810821877
large domestic,1998,6.800409234919658e9,256124.0,1.3752348688565178e9,1.9633460607428372e9,4.1433691766679785e6,445,306,6,7665.607521133658,26551.237818086778,0.20222825146974632,575.5595505617978,473.8525526035129
large domestic,1999,5.931691360456827e9,222085.0,1.2604205428366363e9,1.686582723755405e9,3.561264504703689e6,400,254,9,7594.311744401491,26709.103993771878,0.2124892322009764,555.2125,473.59097352296646
large domestic,2000,6.1674380228183155e9,203219.0,1.328747001090134e9,1.7216681764808128e9,3.2167587979056397e6,371,242,5,8471.98429517325,30348.72734743462,0.2154455377052886,547.7601078167116,535.2183003592786
large domestic,2001,6.205058164246615e9,194949.0,1.31044116391607e9,1.273452433748019e9,3.1134911667446713e6,353,228,6,6532.233731632473,31829.135641868466,0.21118918295831585,552.2634560906515,409.0110957595825
large domestic,2002,7.028124241577888e9,189313.0,1.3144185816812353e9,1.2782342848956656e9,3.0958910322902133e6,335,201,9,6751.962542961474,37124.361462645924,0.18702267297798006,565.1134328358208,412.88090296578696
large domestic,2003,6.472931017644538e9,177131.0,1.176730614060636e9,1.1247541831191366e9,2.9353251171519095e6,307,182,5,6349.843805540174,36543.185651549065,0.1817925466613178,576.9739413680782,383.17874110329024
large domestic,2004,7.123357095958544e9,192293.0,1.379383400872217e9,1.316391977161702e9,2.9946662588178534e6,308,176,7,6845.761297403971,37044.287082517534,0.19364232092966585,624.327922077922,439.5788590082651
