category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share,exporter_share
medium,2010,4.243881824451865e10,433160.0,1.0465428198054302e10,8.59401095542326e9,4866,1707,4866,19840.26908168635,97974.92438017971,0.24660036803465907,0.35080147965474723
medium,2011,4.556726182124065e10,437583.0,1.2144668164083473e10,8.988242398969107e9,5010,1875,104,20540.65719867798,104133.98560099603,0.2665217895191231,0.37425149700598803
medium,2012,4.396223786689715e10,433362.0,1.1983010592912704e10,8.814503927398445e9,4916,1866,38,20339.81735223311,101444.60720343995,0.27257508203274877,0.37957689178193654
medium,2013,4.589109330324058e10,443659.31144213676,1.2882371986795122e10,9.32892032271104e9,5032,1882,118,21027.216339463088,103437.6877024609,0.2807161708192609,0.37400635930047693
medium,2014,4.6900457493682365e10,443259.6000061035,1.3037310817728245e10,9.956769215317825e9,5014,1909,47,22462.613816329584,105808.1031816041,0.2779783293048775,0.38073394495412843
medium,2015,4.890740246435714e10,474648.0,1.2758862379846462e10,1.0520140403844913e10,5416,1987,54,22164.088764399963,103039.3101084533,0.26087793947235083,0.3668759231905465
medium,2016,4.866504765941052e10,483740.0,1.3031410524625957e10,1.083464236499069e10,5448,2032,64,22397.656520012177,100601.66134578601,0.2677776176410675,0.37298091042584436
medium,2017,5.286363987839192e10,484309.0,1.3730100760050453e10,1.1899458973446749e10,5558,2045,45,24569.972834382075,109152.71010530864,0.2597267382956475,0.36793810723281756
medium,2018,5.773112709084638e10,502725.0,1.2431548286242907e10,1.2512102188842548e10,5861,,47,24888.561716331093,114836.39582444952,,
medium,2019,6.022991738809642e10,509560.0,1.3050045413182491e10,1.3618255419945896e10,6008,,44,26725.51891817626,118199.8535758231,,
medium,2020,5.672311016316883e10,488763.0,1.2245046923142635e10,1.2904095614659567e10,5730,,39,26401.53942638777,116054.42753066175,,
medium,2021,6.38020663524293e10,505317.0,1.3971816009371338e10,1.4521530716238075e10,6047,,40,28737.46720620536,126261.46825147244,,
medium,2022,6.954486019171779e10,500105.0,1.4413322006646217e10,1.5072868254089981e10,6201,,60,30139.407232661102,139060.51767472387,,
