category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
large,1980,0.0,3.414684e6,0.0,0.0,2922,0,2922,0.0,0.0,NaN
large,1981,0.0,3.394262e6,0.0,0.0,2934,0,31,0.0,0.0,NaN
large,1982,0.0,3.343423e6,0.0,0.0,2937,0,33,0.0,0.0,NaN
large,1983,0.0,3.25606e6,0.0,0.0,2889,0,30,0.0,0.0,NaN
large,1984,0.0,3.189667e6,0.0,0.0,2850,0,31,0.0,0.0,NaN
large,1985,0.0,3.087763e6,0.0,0.0,2820,0,59,0.0,0.0,NaN
large,1986,0.0,3.013039e6,0.0,0.0,2777,0,58,0.0,0.0,NaN
large,1987,9.980312354734712e10,2.919562e6,1.0339573983802923e10,1.6457903029244888e10,2723,453,18,5637.113727759468,34184.27954170767,0.103599703258764
large,1988,9.356882162680786e10,2.799925e6,1.100380362330994e10,1.61470154279907e10,2678,513,71,5766.9456960421085,33418.331429166086,0.11760117774270766
large,1989,9.417466283269604e10,2.838212e6,1.0983832367694904e10,1.789901431187542e10,2850,602,258,6306.440220771183,33180.98254559421,0.11663256376301546
large,1990,7.441395060791272e10,2.381097e6,8.4036405764710455e9,1.490745297753606e10,2602,650,236,6260.7499726118085,31251.961011211522,0.11293098280388106
large,1991,4.338148827005533e10,1.750502e6,4.65204271536051e9,9.27456958728256e9,2043,629,138,5298.234213547063,24782.312885135423,0.10723566435528785
large,1992,3.810573110280444e10,1.363024e6,4.886765044085486e9,1.168406175856714e10,1619,596,215,8572.16142824128,27956.75725651525,0.12824225917360338
large,1993,3.3794307647881943e10,1.071897e6,4.576425139082033e9,1.115050136581636e10,1276,466,177,10402.586597234958,31527.56995110719,0.1354199999232374
large,1994,3.558800505743599e10,981454.0,5.027711882892963e9,1.1702055860738888e10,1167,429,77,11923.183216675348,36260.49214475257,0.1412754627515273
large,1995,3.5977055906105995e10,921034.0,5.797516710372515e9,1.1862859343690075e10,1082,465,15,12879.936401577004,39061.59371543938,0.16114483423832812
large,1996,3.700623777539943e10,888571.0,6.410700736044277e9,1.1789407150491142e10,1066,474,35,13267.82795127361,41646.91147404026,0.17323297696330286
large,1997,3.9444835162834206e10,857099.0,8.2790389244724865e9,1.2838939462211166e10,1047,489,20,14979.529158488303,46021.32911464627,0.20988904859902113
large,1998,4.1083758671734085e10,867690.0,9.374141122213066e9,1.3053198949926598e10,1044,513,11,15043.620359721326,47348.42936040992,0.2281714581451512
large,1999,4.2158378205031296e10,838676.0,1.0052194363625732e10,1.3159233923778095e10,1024,502,11,15690.485865552484,50267.77707366289,0.23843882975617112
large,2000,4.3129970502818954e10,832300.0,1.1592528726261822e10,1.2245014926886444e10,1000,500,14,14712.261116047632,51820.22167826379,0.2687812811164371
large,2001,4.84978996747243e10,827394.0,1.2845602829694805e10,1.109514739018996e10,993,491,11,13409.750844446491,58615.242163617695,0.2648692606453133
large,2002,5.00605784903892e10,791625.0,1.2400612056327854e10,1.2454060886325165e10,951,447,11,15732.273344481497,63237.74323750412,0.24771212060021572
large,2003,5.321772689801758e10,776980.0,1.4405621915389904e10,1.3201873198538233e10,918,436,9,16991.265152948894,68493.04602179925,0.2706921688518517
large,2004,5.084860614383392e10,793258.0,1.5019615740878271e10,1.340975926131207e10,908,415,16,16904.663125127096,64100.968592606594,0.2953791043631115
large,2005,5.434716452230857e10,760503.0,1.797373540204307e10,1.3510477749050856e10,879,422,12,17765.18665810767,71462.13035623603,0.3307207571917605
large,2006,5.691773974743788e10,784383.0,2.013500037573715e10,1.3494429196561996e10,911,433,13,17203.877693119302,72563.7089883869,0.3537561481724775
large,2007,5.60377082998256e10,768544.0,2.196525060114011e10,1.3374761470810263e10,902,456,16,17402.72706677856,72914.11851478327,0.39197267817621423
large,2008,5.657422179466538e10,792348.0,2.2953020275327892e10,1.2869125924677477e10,925,457,17,16241.75983870405,71400.72517967533,0.4057151746361667
large,2009,4.922990013444248e10,744565.0,1.799592475436343e10,1.1680793048291214e10,860,401,15,15688.076995683674,66119.0092664072,0.3655486747935332
large,2010,5.18843117863944e10,753678.0,2.193616741299443e10,1.2033732168551369e10,878,424,11,15966.675647360502,68841.48374557092,0.42278998521373357
large,2011,5.363116348284401e10,768158.0,2.479512971046624e10,1.2211351263223177e10,880,444,6,15896.926495881286,69817.88054390374,0.46232690287239275
large,2012,5.182254241449987e10,766304.7777709961,2.4168348669328293e10,1.1863302696684849e10,881,443,5,15481.180648765445,67626.5422293721,0.4663674830157701
large,2013,5.342188062291449e10,770609.922668457,2.5892694634252556e10,1.2144406343990362e10,890,463,8,15759.473096241592,69324.15357166174,0.4846833232438898
large,2014,5.5894704258808624e10,778009.9090881348,2.8131485295394424e10,1.3146795590592531e10,877,483,6,16897.979623423063,71843.17783859582,0.5032942864343198
