category,age_in_balance,mean_growth,n_firms,max_n,survival
foreign,1,0.6045331338089267,49552,49552,100.0
foreign,2,0.9979044406814974,48379,49552,97.63278979657733
foreign,3,1.0599741789834518,48424,49552,97.72360348724573
foreign,4,1.0246124516477302,48591,49552,98.0606231837262
foreign,5,1.0,49552,49552,100.0
foreign,6,1.0433351461352691,45002,49552,90.81772683241847
foreign,7,1.1384872306760672,41223,49552,83.19139489828866
foreign,8,1.2126513728559556,37922,49552,76.52970616725864
foreign,9,1.2866859970539928,34983,49552,70.59856312560542
foreign,10,1.390313098741302,32127,49552,64.83492089118502
foreign,11,1.4779729878731385,29445,49552,59.42242492734905
foreign,12,1.5828058963917917,27201,49552,54.89384888601873
foreign,13,1.6748396054443722,24864,49552,50.17759121730707
foreign,14,1.7229071356782624,22772,49552,45.95576364223442
foreign,15,1.783729596039029,20905,49552,42.18800452050371
foreign,16,1.8207233002730916,19028,49552,38.40006457862447
foreign,17,1.8625568336003833,17476,49552,35.26800129157249
foreign,18,1.9657485925669,16063,49552,32.41645140458508
foreign,19,1.9686664016068476,14733,49552,29.73240232483048
foreign,20,1.9522595372455194,13500,49552,27.24410720051663
foreign,21,2.021576499005851,12467,49552,25.159428479173393
foreign,22,2.1263060591653993,11473,49552,23.15345495640943
foreign,23,2.2138902251722627,10511,49552,21.212060058120763
foreign,24,2.2508036482372935,9528,49552,19.22828543752018
foreign,25,2.3201831240969852,8623,49552,17.40192121407814
foreign,26,2.2617178162739124,7699,49552,15.53721343235389
foreign,27,2.150581467203968,6712,49552,13.545366483693897
foreign,28,2.286407971602769,5779,49552,11.66249596383597
foreign,29,2.3350770022711766,4871,49552,9.83007749434937
foreign,30,2.202090754663983,3857,49552,7.783742331288344
foreign,31,2.2287025869921337,2881,49552,5.814094284791734
foreign,32,2.248868861224572,1786,49552,3.604294478527607
foreign,33,1.863738375635387,931,49552,1.8788343558282208
large domestic,1,0.9359099522751682,531,531,100.0
large domestic,2,0.9711768021048225,527,531,99.24670433145009
large domestic,3,0.9661497887690269,523,531,98.4934086629002
large domestic,4,0.985593495420038,526,531,99.05838041431262
large domestic,5,1.0,531,531,100.0
large domestic,6,0.9181515216753352,494,531,93.03201506591337
large domestic,7,0.8708450905839399,467,531,87.94726930320151
large domestic,8,0.8317178347403642,448,531,84.36911487758945
large domestic,9,0.7968433983482283,425,531,80.0376647834275
large domestic,10,0.7518476581357914,399,531,75.14124293785311
large domestic,11,0.6719229657939076,380,531,71.56308851224105
large domestic,12,0.6101432636731978,359,531,67.60828625235405
large domestic,13,0.5579325646730253,344,531,64.7834274952919
large domestic,14,0.5315836813667583,333,531,62.71186440677966
large domestic,15,0.5168142005134667,313,531,58.94538606403013
large domestic,16,0.4907556152418384,297,531,55.932203389830505
large domestic,17,0.49453494140166443,275,531,51.78907721280603
large domestic,18,0.4373013556391569,256,531,48.21092278719397
large domestic,19,0.44131726593065,240,531,45.19774011299435
large domestic,20,0.4104523408294417,226,531,42.56120527306968
large domestic,21,0.40308614259840686,219,531,41.24293785310734
large domestic,22,0.39396235614855774,212,531,39.92467043314501
large domestic,23,0.38902436623863673,202,531,38.04143126177024
large domestic,24,0.3985594416647371,194,531,36.534839924670436
large domestic,25,0.37538851834274045,186,531,35.02824858757062
large domestic,26,0.3711824864796954,177,531,33.333333333333336
large domestic,27,0.3720963259241861,172,531,32.39171374764595
large domestic,28,0.37104375564695585,166,531,31.261770244821093
large domestic,29,0.3876840988331554,148,531,27.871939736346516
large domestic,30,0.3533915858182159,124,531,23.35216572504708
large domestic,31,0.3602899431482632,90,531,16.949152542372882
large domestic,32,0.28540569471552923,72,531,13.559322033898304
large domestic,33,0.25705313275386277,66,531,12.429378531073446
medium domestic,1,1.0134925705153774,4942,4942,100.0
medium domestic,2,1.0413205326085364,4893,4942,99.0084985835694
medium domestic,3,1.0193143553639286,4890,4942,98.9477944152165
medium domestic,4,0.993542421905176,4892,4942,98.98826386078511
medium domestic,5,1.0,4942,4942,100.0
medium domestic,6,0.9449797646225008,4602,4942,93.12019425333872
medium domestic,7,0.9131684665714085,4321,4942,87.43423715095103
medium domestic,8,0.8747297973879762,4066,4942,82.27438284095508
medium domestic,9,0.8538470098975166,3784,4942,76.56819101578309
medium domestic,10,0.8269541519247523,3531,4942,71.44880615135573
medium domestic,11,0.790487338259153,3326,4942,67.30068798057466
medium domestic,12,0.7470911998814269,3150,4942,63.73937677053824
medium domestic,13,0.7264675087128541,2952,4942,59.73290165924727
medium domestic,14,0.7196194392018239,2756,4942,55.76689599352489
medium domestic,15,0.7055013982150281,2592,4942,52.448401456900044
medium domestic,16,0.68647505061402,2458,4942,49.73694860380413
medium domestic,17,0.6775641317887734,2306,4942,46.66127074059085
medium domestic,18,0.6808078512880466,2168,4942,43.86887899635775
medium domestic,19,0.6789171234163723,2038,4942,41.23836503439903
medium domestic,20,0.6339723285863372,1944,4942,39.33630109267503
medium domestic,21,0.6268340583642589,1845,4942,37.333063537029545
medium domestic,22,0.6207474445591792,1762,4942,35.65358154593282
medium domestic,23,0.6148450914088521,1632,4942,33.0230675839741
medium domestic,24,0.5998566119713503,1570,4942,31.768514771347633
medium domestic,25,0.6042392296423622,1424,4942,28.814245244840144
medium domestic,26,0.5937698956674479,1350,4942,27.316875758802105
medium domestic,27,0.5893631397877608,1258,4942,25.4552812626467
medium domestic,28,0.5908060203017828,1156,4942,23.39133953864832
medium domestic,29,0.5964531083232286,1048,4942,21.20598947794415
medium domestic,30,0.6123201500651855,918,4942,18.57547551598543
medium domestic,31,0.39496719606141817,752,4942,15.216511533791987
medium domestic,32,0.32454826513103535,619,4942,12.525293403480372
medium domestic,33,0.300569190727002,483,4942,9.773371104815864
small domestic,1,0.7152652484234165,382647,382647,100.0
small domestic,2,1.002326022806692,374609,382647,97.89936939267784
small domestic,3,1.0400272231965524,374894,382647,97.97385057245974
small domestic,4,1.0146551899917418,376120,382647,98.2942503142583
small domestic,5,1.0,382647,382647,100.0
small domestic,6,0.9996057098146076,346911,382647,90.66084406777003
small domestic,7,1.0435815699472586,319035,382647,83.37580067268266
small domestic,8,1.0814372522697775,293861,382647,76.79689112942215
small domestic,9,1.1211341865467912,272331,382647,71.17029533747815
small domestic,10,1.148631658919389,251607,382647,65.75433754870677
small domestic,11,1.1775141907472713,229043,382647,59.85751880976461
small domestic,12,1.208785063118115,209700,382647,54.802468071094246
small domestic,13,1.2274127575431295,188627,382647,49.29530350427417
small domestic,14,1.2311353687845703,170536,382647,44.56744728169828
small domestic,15,1.2225842650733367,155348,382647,40.598253743005955
small domestic,16,1.2130495083448083,140917,382647,36.826892671313246
small domestic,17,1.2043073888321694,129891,382647,33.945385694909405
small domestic,18,1.1951134066551021,120404,382647,31.46607708932776
small domestic,19,1.1729662525968714,111191,382647,29.058374951325895
small domestic,20,1.1665669345050949,101731,382647,26.58612245751306
small domestic,21,1.1590286778371355,92264,382647,24.112040601389793
small domestic,22,1.1422126720084296,84233,382647,22.013239356378072
small domestic,23,1.1367694174883356,75863,382647,19.82584470804684
small domestic,24,1.141722140357096,67354,382647,17.602124150979886
small domestic,25,1.1603707399957446,60489,382647,15.808042399391606
small domestic,26,1.1762645967938894,52604,382647,13.747396425426045
small domestic,27,1.1717876828593865,43668,382647,11.412084767422716
small domestic,28,1.2041859209703314,34217,382647,8.942184310866152
small domestic,29,1.1788383691675042,27891,382647,7.288963457181162
small domestic,30,1.228650445741124,21297,382647,5.565704160753906
small domestic,31,1.1897161980513895,15883,382647,4.150823082370958
small domestic,32,1.3921794231189564,5976,382647,1.5617527381633725
small domestic,33,1.288092758675472,2789,382647,0.7288702119708242
